symbol,scale,bin,n_windows,mean_q,mean_r,ci_lo,ci_hi,sd_r,frac_zero_r,mean_duration_s,interior_bin
BTCUSDT,N=25000,17,232.0,818.6060517241381,0.002542896492839357,0.0023373393974880467,0.0027548229994311642,0.0016484860523773026,0.0,200.91373706896545,false
BTCUSDT,N=25000,18,156.0,1353.7366346153835,0.0032141223879107337,0.0029241637332514505,0.003515157671387676,0.0021843882435572336,0.0,210.25015384615386,false
BTCUSDT,1min,0,17376.0,-164.362544371547,-0.0008970754963797181,-0.0009465139065059832,-0.0008521080085059768,0.0009949416889500902,0.0024746777163904238,NaN,false
BTCUSDT,1min,1,17376.0,-44.45654293278093,-0.00045922935983865715,-0.00047755362244391295,-0.00044274453742765616,0.0005685609345793604,0.0025897790055248618,NaN,true
BTCUSDT,1min,2,17376.0,-25.114168911141746,-0.0003254550529393706,-0.00033786859520250817,-0.0003133423455169221,0.0004753788982037253,0.00408609576427256,NaN,true
BTCUSDT,1min,3,17374.0,-15.747631575918044,-0.00023274227085855057,-0.00024165324863506635,-0.0002244377378208579,0.0003989331541259353,0.0060435132957292505,NaN,true
BTCUSDT,1min,4,17376.0,-9.957946017495372,-0.00016839916279375584,-0.00017509067839971057,-0.00016204426422373756,0.00035957974745333274,0.009323204419889503,NaN,true
BTCUSDT,1min,5,17376.0,-5.889118611878474,-0.00010878625362081921,-0.00011452497032761163,-0.00010365469044539118,0.00032551947087597403,0.01979742173112339,NaN,true
BTCUSDT,1min,6,17377.0,-2.6810492029694486,-0.000054191499386269604,-0.000059633884391921204,-0.00004907982996216544,0.00030942789028903724,0.03809633423490821,NaN,true
BTCUSDT,1min,7,17376.0,0.08847133977900584,-3.440157814476385e-6,-8.227453745576632e-6,1.4482540199926397e-6,0.00029604847403557033,0.056744935543278086,NaN,false
BTCUSDT,1min,8,17374.0,2.8615012087026583,0.000057002590779273464,0.000051795744059882326,0.00006193967374725806,0.00030862162953701505,0.03522504892367906,NaN,true
BTCUSDT,1min,9,17377.0,6.06801438683316,0.00010800338404840749,0.00010168164648121904,0.00011455426189717781,0.0003326366488008134,0.016228347816078726,NaN,true
BTCUSDT,1min,10,17376.0,10.11391119935544,0.000159483214250769,0.00015342278202251728,0.00016588833996981927,0.00035321605200759495,0.009150552486187844,NaN,true
BTCUSDT,1min,11,17375.0,15.98295574100718,0.00023229878256074044,0.00022376956031165104,0.000240892982558366,0.00040132693335029714,0.004661870503597123,NaN,true
BTCUSDT,1min,12,17378.0,25.537037000805626,0.0003171398439568534,0.0003059286006471239,0.00032818680805294135,0.00046441345390267716,0.0035101852917481875,NaN,true
BTCUSDT,1min,13,17376.0,45.13124395718232,0.000459458191419567,0.00044291365407241154,0.00047721535806656974,0.0005835710082850136,0.002186924493554328,NaN,true
BTCUSDT,1min,14,17376.0,166.5655030501846,0.0009029382803776769,0.0008540928716836632,0.0009582625659835144,0.001075460448798611,0.0016689686924493555,NaN,false
ETHUSDT,N=25,0,237994.0,-259.04051563484734,-2.3128870424880906e-6,-3.1971718821211333e-6,-1.41214200773847e-6,0.00015177728908644653,0.3887366908409456,0.1504184013042806,false
ETHUSDT,N=25,1,356984.0,-106.78783574053757,-6.454479251845868e-6,-7.054669921457154e-6,-5.822888910023931e-6,0.00011241798253986854,0.2855898303565426,0.2109780214238105,false
ETHUSDT,N=25,2,594971.0,-73.18968512414891,-7.946691136517494e-6,-8.518737156436912e-6,-7.381535811951439e-6,0.0000968443890400164,0.23764687690660552,0.27362079664375993,false
ETHUSDT,N=25,3,1189953.0,-48.397548822516555,-9.611329292980106e-6,-0.000010164733412475851,-9.068762668488334e-6,0.00008650470859311245,0.20011882822262728,0.3445412692765841,false
ETHUSDT,N=25,4,2379797.0,-28.589301975756737,-0.000011842837768725298,-0.000012658142520968622,-0.000011118039641982779,0.00007437045855212941,0.17091415780421607,0.3894175872991297,true
ETHUSDT,N=25,5,3569859.0,-15.071466789584708,-0.000013694998021040098,-0.000014502375891460322,-0.000012980479600132306,0.000060525619011742466,0.14966725576556386,0.4210066848582023,true
ETHUSDT,N=25,6,3569459.0,-7.596170772937868,-0.000016637765346806,-0.000017512806163676174,-0.000015844432606540386,0.0000475523508659876,0.11230973657352557,0.41656056954330967,true
ETHUSDT,N=25,7,4759010.0,-3.4304999552428,-0.000020436416503717595,-0.00002119583995707001,-0.000019724022681394766,0.00003929152079760639,0.0772593459564069,0.3457715365171554,true
ETHUSDT,N=25,8,4759799.0,-1.0979644554318357,-0.00002501972447209963,-0.000025762164158747615,-0.000024262918664425136,0.000033361173381406394,0.047019842644615874,0.23534119676135773,true
ETHUSDT,N=25,9,4759134.0,0.017741198713883653,7.384214174444054e-7,5.351143825960535e-7,9.416016274545283e-7,0.00003868900550022594,0.03894300937943752,0.15664119816815772,false
ETHUSDT,N=25,10,4762054.0,1.161174755683158,0.00002446712086697446,0.000023720204417870536,0.000025198769278717806,0.00003365245708691609,0.050574394998460746,0.2463105426783132,true
ETHUSDT,N=25,11,4759886.0,3.503677567487961,0.000020171883373544094,0.00001946661962351755,0.00002091884759921348,0.000039894111277253486,0.08241709990533387,0.35703064506177706,true
ETHUSDT,N=25,12,3569736.0,7.66045182388838,0.00001648642181506816,0.0000156973059895085,0.000017325064573421938,0.00004812507312539556,0.11979373264577549,0.42781241217851745,true
ETHUSDT,N=25,13,3570055.0,15.096401033037326,0.000013601561124808521,0.000012857700468198506,0.000014408570055670354,0.000059848437208500374,0.15939250235640628,0.4268242413634701,true
ETHUSDT,N=25,14,2379995.0,28.497594079819567,0.000011879349329127178,0.000011192335794698334,0.000012622699109148805,0.00007650011628304652,0.17915835957638568,0.3888834455541852,true
ETHUSDT,N=25,15,1190031.0,48.132258105881235,9.874978860587022e-6,9.232239764844117e-6,0.000010617465293555547,0.00008904537525727862,0.2080332361089753,0.34211740702510907,false
ETHUSDT,N=25,16,594978.0,72.67389641129593,8.392983134957674e-6,7.785795571396067e-6,9.050582218196226e-6,0.00009297937561924027,0.24592842088278893,0.27093637411790533,false
ETHUSDT,N=25,17,356992.0,106.10259370237979,6.610370494682571e-6,5.901453999937336e-6,7.322548140991923e-6,0.00011235668735134723,0.2955584438866977,0.20853890003125408,false
ETHUSDT,N=25,18,237998.0,257.1817485188942,3.0214591973096692e-6,1.893493329680841e-6,4.058881248490372e-6,0.00015407925262697538,0.3953100446222237,0.14591447407126576,false
ETHUSDT,N=250,0,23799.0,-1361.0466825917072,-0.0001184623599629744,-0.0001275081614591662,-0.0001109773910891457,0.00030672473108156565,0.0478171351737468,1.2787900331947109,false
ETHUSDT,N=250,1,35698.0,-608.1093122583893,-0.00011629938962605044,-0.00012145517348828107,-0.00011157404780998085,0.0002571461015856906,0.023950921620258837,1.0132700711524503,false
ETHUSDT,N=250,2,59498.0,-423.8304895962894,-0.00011733546772119397,-0.00012373932634723725,-0.00011210669390805328,0.00021081639052791877,0.018488016403912736,1.1729273420953568,false
ETHUSDT,N=250,3,118995.0,-297.39938142779016,-0.00011388755334121884,-0.0001181249515117585,-0.00011027985815733307,0.00017935568881718585,0.014790537417538552,1.6932618429344082,false
ETHUSDT,N=250,4,237989.0,-197.38851887272077,-0.00011015771045738152,-0.00011395436285443355,-0.00010677250316960273,0.00015590079882504135,0.012945976494711941,2.4657261638140535,true
ETHUSDT,N=250,5,356981.0,-124.43625545337092,-0.00010637599126787355,-0.00011031846886538236,-0.00010290845732836715,0.00014716157239135885,0.012650533221656055,3.22488273045347,true
ETHUSDT,N=250,6,356984.0,-79.00981579566603,-0.00010323458558354919,-0.00010720610989898095,-0.0000998038180758739,0.00014800131741768007,0.012656029401877955,3.6122712082334623,true
ETHUSDT,N=250,7,475979.0,-47.08899831084986,-0.00009919833713770364,-0.00010315318791644065,-0.00009547585605410228,0.00015394334426568923,0.012800984917401817,3.7436731410418727,true
ETHUSDT,N=250,8,475980.0,-21.427615506954044,-0.00007738707721238221,-0.00008139441554263631,-0.00007344939073983782,0.00016336017246991634,0.013992184545569141,3.7159251018949995,true
ETHUSDT,N=250,9,475976.0,0.4529543674470986,-6.301186608340172e-7,-1.4092244370316492e-6,1.6384987649679517e-7,0.00016504580925403813,0.01961233339496109,3.756383038220493,false
ETHUSDT,N=250,10,475975.0,22.157738893849466,0.00007627087392917204,0.00007236413466831551,0.00008040579415134893,0.00016389744731389012,0.014500761594621566,3.7165118987341823,true
ETHUSDT,N=250,11,475985.0,47.55609658077445,0.0000976120405348903,0.00009395241137925043,0.00010140341625186318,0.00015506789265651983,0.012689475508681996,3.760510772398187,true
ETHUSDT,N=250,12,356984.0,79.21122422293419,0.00010275736520646917,0.00009932701223390812,0.00010681740369632445,0.00014892763007150512,0.012213432534791475,3.650641647805028,true
ETHUSDT,N=250,13,356985.0,124.34269021667559,0.00010697443379370115,0.00010342320968030223,0.00011099596215661885,0.00015126851416312088,0.012633584044147514,3.224649691163477,true
ETHUSDT,N=250,14,237989.0,196.8549370180975,0.00011155948266454647,0.0001077779767790063,0.00011571038373281313,0.00015400374441011143,0.012769497749896004,2.457129031173526,true
ETHUSDT,N=250,15,118995.0,295.7208636917515,0.00011734170989556555,0.00011274526333960806,0.00012247402484684113,0.00018398663943119243,0.014521618555401487,1.702366754905498,false
ETHUSDT,N=250,16,59497.0,420.2431617056314,0.00012101547072018097,0.00011550753807821473,0.00012698649249985892,0.00020557075762017604,0.017076491251659748,1.1966437971661057,false
ETHUSDT,N=250,17,35699.0,601.3296606347503,0.00012228346002077372,0.00011538691439809873,0.00012975011043661364,0.0002772593750927762,0.0235860948485952,0.9292056080002662,false
ETHUSDT,N=250,18,23799.0,1340.1845022059733,0.0001222252137695223,0.00011459610109710359,0.0001319353904859271,0.00031903312173037554,0.044035463674944327,1.1915730913063938,false
ETHUSDT,N=2500,0,2380.0,-6110.6515260504275,-0.0008316962383114227,-0.0008828319789640412,-0.0007848567371801345,0.0008659833023110079,0.0029411764705882353,11.161873109243707,false
ETHUSDT,N=2500,1,3569.0,-3381.171432053795,-0.0006900267467111536,-0.0007185040641821621,-0.000662292909595386,0.0007024815764084077,0.001961333706920706,12.578856262258347,false
ETHUSDT,N=2500,2,5949.0,-2380.4666360732895,-0.0006321976962304014,-0.0006562415076594265,-0.000609950279958967,0.0005792710760299503,0.0021852412170112624,14.957645318540935,false
ETHUSDT,N=2500,3,11897.0,-1691.207513995126,-0.0005702438092233384,-0.0005934918601292263,-0.0005486221553263164,0.0005564724808380849,0.002017315289568799,19.779663948894676,false
ETHUSDT,N=2500,4,23795.0,-1141.9912838411408,-0.0005027155285316649,-0.0005177235055339195,-0.00048725110832436994,0.0005311346530134005,0.0026055894095398193,26.475094053372583,true
